disease,status,n_total,n_test,positive_total,positive_test,prevalence_total,prevalence_test,feature_count,missing_feature_count,missing_features,threshold,roc_auc,pr_auc,accuracy,balanced_accuracy,precision,recall,f1,tn,fp,fn,tp,specificity
Inflammation,evaluated,13137,2628,3356,671,0.25546167313694146,0.2553272450532725,62,0,,0.5,0.8518970077226693,0.6682086230803642,0.778158295281583,0.7619287863430371,0.549438202247191,0.7287630402384501,0.6265214606021781,1556,401,182,489,0.795094532447624
IronDef,evaluated,13137,2628,1887,377,0.14364010047956155,0.143455098934551,62,0,,0.5,0.8891373948743087,0.5942912640089266,0.83675799086758,0.7953995100320872,0.45723684210526316,0.7374005305039788,0.5644670050761421,1921,330,99,278,0.8533984895601955
IronOverload,evaluated,13137,2628,974,195,0.07414173707848062,0.07420091324200913,63,0,,0.5,0.8821187307007283,0.38427831784477906,0.8645357686453576,0.7287173163868601,0.2898172323759791,0.5692307692307692,0.38408304498269896,2161,272,84,111,0.8882038635429511
HighLead,evaluated,13137,2628,118,24,0.008982263834969932,0.0091324200913242,63,0,,0.5,0.6666346646185356,0.02467066820398494,0.9904870624048706,0.49980798771121354,0.0,0.0,0.0,2603,1,24,0,0.9996159754224271
HeartFailure,evaluated,13137,2628,308,62,0.02344523102687067,0.02359208523592085,63,0,,0.5,0.9467352223870464,0.3944258335458074,0.9714611872146118,0.7099477032157494,0.40298507462686567,0.43548387096774194,0.4186046511627907,2526,40,35,27,0.9844115354637568
CoronaryHeart,evaluated,13137,2628,366,73,0.027860242064398265,0.027777777777777776,63,0,,0.5,0.9432163632951774,0.3526839461254322,0.9642313546423136,0.7620352250489237,0.39603960396039606,0.547945205479452,0.45977011494252873,2494,61,33,40,0.9761252446183953
HeartAttack,evaluated,13137,2628,376,75,0.028621450863971987,0.028538812785388126,63,0,,0.5,0.9257292074683379,0.3576859423470086,0.9657534246575342,0.710599294947121,0.4074074074074074,0.44,0.4230769230769231,2505,48,42,33,0.981198589894242
Stroke,evaluated,13137,2628,416,83,0.03166628606226688,0.031582952815829526,63,0,,0.5,0.8550287594385402,0.11858029634534666,0.941400304414003,0.5618103060572348,0.13402061855670103,0.1566265060240964,0.14444444444444443,2461,84,70,13,0.9669941060903733
CVD,evaluated,13137,2628,953,191,0.0725431985993758,0.07267884322678843,60,0,,0.5,0.9129454934506634,0.4238498775295469,0.8835616438356164,0.7972853070142459,0.34908136482939633,0.6963350785340314,0.46503496503496505,2189,248,58,133,0.8982355354944604
Osteoporosis,evaluated,13137,2628,55,11,0.0041866483976554765,0.004185692541856925,63,0,,0.5,0.6674193212213845,0.07941029257072367,0.9939117199391172,0.5443081946712057,0.14285714285714285,0.09090909090909091,0.1111111111111111,2611,6,10,1,0.9977072984333206
Arthritis,evaluated,13137,2628,2525,505,0.19220522189236508,0.1921613394216134,63,0,,0.5,0.8956371284796873,0.6086532919458141,0.8089802130898022,0.816876920852707,0.5017964071856288,0.8297029702970297,0.6253731343283582,1707,416,86,419,0.8040508714083844
Asthma,evaluated,13137,2628,2113,423,0.16084341934992769,0.16095890410958905,63,0,,0.5,0.6095473965788049,0.23857389180861094,0.7058599695585996,0.5629710040044387,0.22993827160493827,0.35224586288416077,0.27824463118580767,1706,499,274,149,0.7736961451247165
Psoriasis,evaluated,13137,2628,287,57,0.02184669254776585,0.021689497716894976,63,0,,0.5,0.8341760663814339,0.11726348714228313,0.9680365296803652,0.5547912956252943,0.17073170731707318,0.12280701754385964,0.14285714285714285,2537,34,50,7,0.9867755737067289
GumDisease,evaluated,13137,2628,2415,483,0.18383192509705412,0.18378995433789955,63,0,,0.5,0.7744960353656005,0.4652249790336273,0.7773972602739726,0.7152485195963456,0.4269340974212034,0.6169772256728778,0.5046570702794242,1745,400,185,298,0.8135198135198135
ToothLoss,evaluated,13137,2628,424,85,0.03227525310192586,0.032343987823439876,62,0,,0.5,0.7991950220906294,0.15903552612253163,0.9410197869101978,0.6340658323887951,0.21311475409836064,0.3058823529411765,0.25120772946859904,2447,96,59,26,0.9622493118364137
HeavyDrinker,evaluated,13137,2628,1933,387,0.14714166095760067,0.14726027397260275,63,0,,0.5,0.8706338417119526,0.5454539005947974,0.7960426179604262,0.7724541577161359,0.39667128987517336,0.7390180878552972,0.516245487364621,1806,435,101,286,0.8058902275769746
PoorHealth,evaluated,13137,2628,2332,467,0.17751389206059223,0.17770167427701675,63,0,,0.5,0.8200571350998378,0.4911131367082366,0.7602739726027398,0.7266621547839993,0.39722572509457754,0.6745182012847966,0.5,1683,478,152,315,0.7788061082832022
Depression,evaluated,13137,2628,866,173,0.06592068204308442,0.06582952815829528,64,0,,0.5,0.8241832758438012,0.2382667910541945,0.8801369863013698,0.6752539938547026,0.2585034013605442,0.4393063583815029,0.32548179871520344,2237,218,97,76,0.9112016293279023
